problem,problem_display,scale,algorithm,variant,t_aco,evaluations,avg_obj,instances,device,source
pctsp,PCTSP,500,DeepACO,Elitist,30,600,21.70595556259155,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,Elitist,40,800,21.601005153656004,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,Elitist,50,1000,21.520029792785646,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,Elitist,100,2000,21.43850732803345,100,cpu,pretrained
pctsp,PCTSP,500,ACO,MAX-MIN,1,20,189.8348765563965,100,cpu,pretrained
pctsp,PCTSP,500,ACO,MAX-MIN,10,200,185.69399078369142,100,cpu,pretrained
pctsp,PCTSP,500,ACO,MAX-MIN,20,400,184.8507015991211,100,cpu,pretrained
pctsp,PCTSP,500,ACO,MAX-MIN,30,600,184.32012756347658,100,cpu,pretrained
pctsp,PCTSP,500,ACO,MAX-MIN,40,800,184.08019317626952,100,cpu,pretrained
pctsp,PCTSP,500,ACO,MAX-MIN,50,1000,183.86580657958984,100,cpu,pretrained
pctsp,PCTSP,500,ACO,MAX-MIN,100,2000,183.50186599731444,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,MAX-MIN,1,20,23.21738681793213,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,MAX-MIN,10,200,22.166161670684815,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,MAX-MIN,20,400,21.962720584869384,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,MAX-MIN,30,600,21.873847122192384,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,MAX-MIN,40,800,21.779717388153077,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,MAX-MIN,50,1000,21.690464859008788,100,cpu,pretrained
pctsp,PCTSP,500,DeepACO,MAX-MIN,100,2000,21.499942417144776,100,cpu,pretrained
